date,Energy_Consumption,Air_Temperature,Humidity,SolarRadiation,Cool_Temperature,Heat_Temperature,Interior_Temperature,Exterior_Temperature,Total_Occupants,Wifi_Users
06/06/2018,6634.525,12.70572917,73.46427083,297.8488542,73.42682927,69.43902439,23.12602561,70.28801743,20,87
07/06/2018,6796.979,12.74479167,77.27635417,283.1715625,73.42682927,69.43902439,22.92167535,69.82108524,18,95
08/06/2018,7678.651,15.03442708,64.065,328.2255208,76.74762873,66.29014228,22.93644835,70.10764434,16,98
09/06/2018,5720.47,14.34828125,76.36239583,268.8697917,74.62000339,68.30767276,22.95903481,70.2704902,1,60
10/06/2018,5720.53,13.78,54.67822917,322.5642708,73.41700542,69.42920054,22.31960324,69.13972358,1,61
11/06/2018,7892.07,15.66713542,57.09708333,333.4507292,73.40243902,69.41463415,22.5911333,69.8549537,17,117
12/06/2018,9084.78,20.28380208,51.925625,336.3645833,73.40243902,69.41463415,23.21811155,71.12577887,21,118
13/06/2018,8636.81,18.12953125,58.68385417,336.064375,73.40243902,69.41463415,23.43076432,71.29864379,23,124
14/06/2018,7707.58,15.16546875,69.09270833,319.9157292,73.40243902,69.41463415,23.41185894,70.69376581,20,116
15/06/2018,6477.215,12.92140625,77.36208333,301.2659375,76.7260332,66.26295732,23.31743967,69.4867563,20,106
16/06/2018,4768.473333,12.60109375,79.38875,265.5613542,74.59561314,68.28328252,22.94291496,,2,62
17/06/2018,3637.486667,12.6109375,77.73322917,244.9978125,73.40243902,69.41463415,22.35854583,69.19495652,1,61
18/06/2018,6705.99,13.20880208,81.94354167,293.4996875,73.40243902,69.41463415,22.60014905,68.87124124,20,113
19/06/2018,7021.445,12.3978125,85.71541667,269.0277083,73.39549458,69.4076897,22.84477865,,19,122
20/06/2018,6737.575,12.52744792,81.14385417,302.3822917,73.37804878,69.3902439,22.85026128,69.21185878,19,134
21/06/2018,7545.345,13.42276042,76.051875,334.8719792,73.37804878,69.3902439,22.9026046,,17,117
22/06/2018,8373.5825,17.1175,63.44520833,338.63625,76.70071138,66.23949864,23.06219358,70.34989474,19,96
